instrument,status,file_exists,rows,start_date,end_date,coverage_days
EUR_USD,COMPLETE,True,18672,2022-10-30 21:00,2025-10-29 21:00,1095
GBP_USD,COMPLETE,True,18672,2022-10-30 21:00,2025-10-29 21:00,1095
USD_JPY,COMPLETE,True,18672,2022-10-30 21:00,2025-10-29 21:00,1095
USD_CHF,COMPLETE,True,18672,2022-10-30 21:00,2025-10-29 21:00,1095
AUD_USD,COMPLETE,True,18672,2022-10-30 21:00,2025-10-29 21:00,1095
USD_CAD,COMPLETE,True,18672,2022-10-30 21:00,2025-10-29 21:00,1095
NZD_USD,COMPLETE,True,18679,2022-10-30 21:00,2025-10-29 21:00,1095
EUR_GBP,COMPLETE,True,18672,2022-10-30 21:00,2025-10-29 21:00,1095
EUR_JPY,COMPLETE,True,18672,2022-10-30 21:00,2025-10-29 21:00,1095
GBP_JPY,COMPLETE,True,18672,2022-10-30 21:00,2025-10-29 21:00,1095
AUD_JPY,COMPLETE,True,18672,2022-10-30 21:00,2025-10-29 21:00,1095
EUR_CHF,COMPLETE,True,18672,2022-10-30 21:00,2025-10-29 21:00,1095
GBP_CHF,COMPLETE,True,18672,2022-10-30 21:00,2025-10-29 21:00,1095
CHF_JPY,COMPLETE,True,18670,2022-10-30 21:00,2025-10-29 21:00,1095
EUR_AUD,COMPLETE,True,18671,2022-10-30 21:00,2025-10-29 21:00,1095
GBP_AUD,COMPLETE,True,18672,2022-10-30 21:00,2025-10-29 21:00,1095
AUD_CHF,COMPLETE,True,18671,2022-10-30 21:00,2025-10-29 21:00,1095
NZD_JPY,COMPLETE,True,18673,2022-10-30 21:00,2025-10-29 21:00,1095
CAD_JPY,COMPLETE,True,18672,2022-10-30 21:00,2025-10-29 21:00,1095
AUD_NZD,COMPLETE,True,18674,2022-10-30 21:00,2025-10-29 21:00,1095
EUR_CAD,COMPLETE,True,18672,2022-10-30 21:00,2025-10-29 21:00,1095
EUR_NZD,COMPLETE,True,18672,2022-10-30 21:00,2025-10-29 21:00,1095
GBP_CAD,COMPLETE,True,18672,2022-10-30 21:00,2025-10-29 21:00,1095
GBP_NZD,COMPLETE,True,18672,2022-10-30 21:00,2025-10-29 21:00,1095
